-0.39	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	16.75	2.51	-7.68	-0.09	0.	-8.06	0.	0.	0.	9.32	0.	-0.06	0.	-7.26	0.	0.	0.	-2.04	0.	0.	0.
0.	2.51	0.	-18.92	0.	0.	0.	0.	0.	0.	-2.47	0.	-1.98	0.	-0.74	0.	0.2	0.	8.48	0.	0.	0.
0.	-7.68	-18.92	14.09	-1.82	0.	0.	0.39	0.	0.	-1.48	0.	5.37	0.	9.77	0.	0.2	0.	1.06	0.13	0.2	0.2
0.	-0.09	0.	-1.82	0.	0.	0.	0.	0.	0.	1.87	0.	5.31	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-3.75	0.	-1.9	0.	0.	0.	0.	0.	0.	0.
0.	-8.06	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	12.6	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.39	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-0.04	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.39	0.	0.39	0.	0.39	0.	0.39	0.	0.	0.	0.	0.2	0.2
0.	9.32	-2.47	-1.48	1.87	0.	0.	0.	-0.04	0.	-1.55	0.	-5.11	0.	-5.1	0.	0.	0.	0.14	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.39	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	-0.06	-1.98	5.37	5.31	-3.75	12.6	0.	0.	0.	-5.11	0.	-0.62	0.	8.34	0.	0.	0.	-5.51	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.39	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	-7.26	-0.74	9.77	0.	-1.9	0.	0.	0.	0.	-5.1	0.	8.34	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.39	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.2	0.2	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	-2.04	8.48	1.06	0.	0.	0.	0.	0.	0.	0.14	0.	-5.51	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.13	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.13	0.	0.
0.	0.	0.	0.2	0.	0.	0.	0.	0.	0.2	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
0.	0.	0.	0.2	0.	0.	0.	0.	0.	0.2	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
